Timestamp,How old are you ,What is your gender,What region are you from,"Any feedback on user interface
",General experience with this app,Would you recommend this app to friends or family?,What do you like most about the app concept?,What do you think are the missing features?
1/30/2024 2:54:37,18,Female,Vietnam,not really,Very good,Yes,"The design, and it’s easy to use",
1/30/2024 2:55:20,19,male,Vietnam,no,Very good,Yes,pretty good,nothing
1/30/2024 3:07:23,18,male,asia,perfectly fine,Very good,Yes,all of the features ,none
1/30/2024 3:41:18,19,male,Viet Nam,no,Very good,Maybe,.,
1/30/2024 3:41:26,19,Male,North region of Vietnam?,Nope,Good,Yes,Updating news relating to technology,I don’t know
1/30/2024 5:20:28,28,Female,"Victoria, Australia",Clear user interface. ,Good,Yes,the chat bot,
1/30/2024 9:11:37,19,Female,Asia,Design,Good,Yes,It's about technology,
1/30/2024 11:16:11,39,F,Mel,Good,Neutral,No,Arrangements ,Story telling
1/30/2024 12:36:31,18,Male,Vietnam,"Look good, app is well designed",Neutral,Maybe,Assistant feature,1. Directly scan modem from the app; 2. Find the closet store; 3. Pickup feature
1/30/2024 16:23:26,19,male,long bien,"looks too simple, which is good, but should stick to a more consistent and appealing color palette. Could be better designed other wise a good first draft, could be put on google play store, not yet for app store tho (fuck apple) you know who iam :))))",Neutral,Yes,"the simplicity, the effort you put in",none that i can think of :P 
1/30/2024 18:17:46,14,Male ,Asia,Very intelligent and good,Very good,Yes,look nice,Nothing
1/30/2024 20:25:39,19,female,vietnam,kinda laggy and probably be better if the interface’s visual can be updated ,Neutral,Yes,content content,visual feature